 wavelength,Qext,Qscat,Qabs,
 3.27000E-07, 2.26451E-01, 8.36243E-04, 2.25614E-01,
 3.28000E-07, 2.26732E-01, 8.27736E-04, 2.25904E-01,
 3.29000E-07, 2.27020E-01, 8.19381E-04, 2.26201E-01,
 3.30000E-07, 2.27316E-01, 8.11176E-04, 2.26505E-01,
 3.31000E-07, 2.27619E-01, 8.03118E-04, 2.26815E-01,
 3.32000E-07, 2.27929E-01, 7.95205E-04, 2.27134E-01,
 3.33000E-07, 2.28246E-01, 7.87435E-04, 2.27459E-01,
 3.34000E-07, 2.28572E-01, 7.79807E-04, 2.27792E-01,
 3.35000E-07, 2.28905E-01, 7.72318E-04, 2.28132E-01,
 3.36000E-07, 2.29245E-01, 7.64965E-04, 2.28480E-01,
 3.37000E-07, 2.29593E-01, 7.57748E-04, 2.28836E-01,
 3.38000E-07, 2.29949E-01, 7.50663E-04, 2.29199E-01,
 3.39000E-07, 2.30313E-01, 7.43710E-04, 2.29570E-01,
 3.40000E-07, 2.30685E-01, 7.36886E-04, 2.29948E-01,
 3.41000E-07, 2.31065E-01, 7.30190E-04, 2.30334E-01,
 3.42000E-07, 2.31452E-01, 7.23620E-04, 2.30729E-01,
 3.43000E-07, 2.31848E-01, 7.17175E-04, 2.31131E-01,
 3.44000E-07, 2.32252E-01, 7.10853E-04, 2.31541E-01,
 3.45000E-07, 2.32664E-01, 7.04653E-04, 2.31959E-01,
 3.46000E-07, 2.33084E-01, 6.98572E-04, 2.32386E-01,
 3.47000E-07, 2.33513E-01, 6.92610E-04, 2.32820E-01,
 3.48000E-07, 2.33949E-01, 6.86765E-04, 2.33263E-01,
 3.49000E-07, 2.34394E-01, 6.81036E-04, 2.33713E-01,
 3.50000E-07, 2.34848E-01, 6.75422E-04, 2.34172E-01,
 3.51000E-07, 2.35309E-01, 6.69921E-04, 2.34639E-01,
 3.52000E-07, 2.35779E-01, 6.64531E-04, 2.35114E-01,
 3.53000E-07, 2.36257E-01, 6.59253E-04, 2.35597E-01,
 3.54000E-07, 2.36743E-01, 6.54085E-04, 2.36089E-01,
 3.55000E-07, 2.37237E-01, 6.49026E-04, 2.36588E-01,
